日期,識別碼,植物編號,植物名稱,形相代號,節氣,候別,葉子分數,花的分數,果實分數
2022/04/17,36,30,對面花,2,清明,第3候,2.5,2,1
2022/04/17,37,31,狗花椒,1,清明,第3候,2.5,1,1
2022/04/17,38,32,毛瓣蝴蝶木,2,清明,第3候,2.5,2,1
2022/04/17,40,33,狗花椒,1,清明,第3候,2.5,1,1
2022/04/24,1,0,緬梔,1,穀雨,第1候,2.5,2,1
2022/04/24,2,1,小梗木薑子,1,穀雨,第1候,2.5,1,1
2022/04/24,3,2,相思樹,1,穀雨,第1候,2.5,1,1
2022/04/24,4,3,降真香,1,穀雨,第1候,2.5,2,1
2022/04/24,5,4,球花嘉賜木,1,穀雨,第1候,0.5,1,1
2022/04/24,6,5,血桐,1,穀雨,第1候,2.5,2,1
2022/04/24,7,6,灰木,2,穀雨,第1候,2.5,1,2
2022/04/24,8,7,狗骨仔,1,穀雨,第1候,2.5,1,1
2022/04/24,9,8,狗骨仔,2,穀雨,第1候,2.5,1,1
2022/04/24,10,9,紅脈赤楠,1,穀雨,第1候,2.5,2,1
2022/04/24,11,10,台灣山桂花,2,穀雨,第1候,2.5,1,3
2022/04/24,12,11,細葉饅頭果,1,穀雨,第1候,2.5,1,2
2022/04/24,13,12,球花嘉賜木,1,穀雨,第1候,2.5,1,1
2022/04/24,14,13,相思樹,1,穀雨,第1候,2.5,1,1
2022/04/24,15,14,血桐,1,穀雨,第1候,2.5,3,1
2022/04/24,17,15,萬桃花,1,穀雨,第1候,2.5,3,3
2022/04/24,18,16,山油麻,1,穀雨,第1候,2.5,3,1
2022/04/24,19,17,構樹,1,穀雨,第1候,2.5,3,1
2022/04/24,20,18,白毛臭牡丹,2,穀雨,第1候,2.5,3,1
2022/04/24,21,19,白匏子,1,穀雨,第1候,2.5,1,1
2022/04/24,23,20,白匏子,1,穀雨,第1候,2.5,1,1
2022/04/24,24,21,苦楝,1,穀雨,第1候,2.5,1,1
2022/04/24,28,24,小錦蘭,3,穀雨,第1候,2.5,1,1
2022/04/24,29,25,雙面刺,3,穀雨,第1候,2.5,1,3
2022/04/24,31,26,大青,2,穀雨,第1候,2.5,1,1
2022/04/24,33,27,球花嘉賜木,1,穀雨,第1候,2.5,1,1
2022/04/24,34,28,球花嘉賜木,1,穀雨,第1候,2.5,1,2
2022/04/24,35,29,台灣野茉莉,2,穀雨,第1候,2.5,1,3
2022/04/24,36,30,對面花,2,穀雨,第1候,2.5,3,1
2022/04/24,38,32,毛瓣蝴蝶木,2,穀雨,第1候,2.5,2,1
2022/05/02,1,0,緬梔,1,穀雨,第3候,2.5,2,1
2022/05/02,2,1,小梗木薑子,1,穀雨,第3候,2.5,1,1
2022/05/02,3,2,相思樹,1,穀雨,第3候,2.5,1,1
2022/05/02,4,3,降真香,1,穀雨,第3候,2.5,2,2
2022/05/02,5,4,球花嘉賜木,1,穀雨,第3候,2.5,1,1
2022/05/02,6,5,血桐,1,穀雨,第3候,2.5,1,3
2022/05/02,7,6,灰木,2,穀雨,第3候,2.5,1,2
2022/05/02,8,7,狗骨仔,1,穀雨,第3候,2.5,1,1
2022/05/02,9,8,狗骨仔,2,穀雨,第3候,2.5,1,1
2022/05/02,10,9,紅脈赤楠,1,穀雨,第3候,2.5,2,2
2022/05/02,11,10,台灣山桂花,2,穀雨,第3候,2.5,1,3
2022/05/02,12,11,細葉饅頭果,1,穀雨,第3候,2.5,1,2
2022/05/02,13,12,球花嘉賜木,1,穀雨,第3候,2.5,1,1
2022/05/02,14,13,相思樹,1,穀雨,第3候,2.5,3,1
2022/05/02,15,14,血桐,1,穀雨,第3候,2.5,1,3
2022/05/02,17,15,萬桃花,1,穀雨,第3候,2.5,3,3
2022/05/02,18,16,山油麻,1,穀雨,第3候,2.5,3,2
2022/05/02,19,17,構樹,1,穀雨,第3候,2.5,3,3
2022/05/02,20,18,白毛臭牡丹,2,穀雨,第3候,2.5,3,3
2022/05/02,21,19,白匏子,1,穀雨,第3候,2.5,1,1
2022/05/02,23,20,白匏子,1,穀雨,第3候,2.5,1,1
2022/05/02,24,21,苦楝,1,穀雨,第3候,2.5,2,1
2022/05/02,26,22,狗骨仔,2,穀雨,第3候,2.5,2,1
2022/05/02,27,23,降真香,1,穀雨,第3候,2.5,2,2
2022/05/02,28,24,小錦蘭,3,穀雨,第3候,2.5,1,1
2022/05/02,29,25,雙面刺,3,穀雨,第3候,2.5,1,3
2022/05/02,31,26,大青,2,穀雨,第3候,2.5,1,1
2022/05/02,33,27,球花嘉賜木,1,穀雨,第3候,2.5,1,1
2022/05/02,34,28,球花嘉賜木,1,穀雨,第3候,2.5,1,2
2022/05/02,35,29,台灣野茉莉,2,穀雨,第3候,2.5,1,3
2022/05/02,36,30,對面花,2,穀雨,第3候,2.5,3,1
2022/05/02,37,31,狗花椒,1,穀雨,第3候,2.5,1,1
2022/05/02,38,32,毛瓣蝴蝶木,2,穀雨,第3候,2.5,2,1
2022/05/02,40,33,狗花椒,1,穀雨,第3候,2.5,1,1
2022/05/02,41,34,狗花椒,1,穀雨,第3候,2.5,1,1
2022/05/02,42,35,羊角藤,3,穀雨,第3候,2.5,2,1
2022/05/15,1,0,緬梔,1,立夏,第3候,2.5,3,1
2022/05/15,2,1,小梗木薑子,1,立夏,第3候,2.5,1,1
2022/05/15,3,2,相思樹,1,立夏,第3候,2.5,1,1
2022/05/15,4,3,降真香,1,立夏,第3候,2.5,3,2
2022/05/15,5,4,球花嘉賜木,1,立夏,第3候,2.5,1,1
2022/05/15,6,5,血桐,1,立夏,第3候,2.5,1,3
2022/05/15,7,6,灰木,2,立夏,第3候,2.5,2,2
2022/05/15,8,7,狗骨仔,1,立夏,第3候,2.5,1,1
2022/05/15,9,8,狗骨仔,2,立夏,第3候,2.5,1,2
2022/05/15,10,9,紅脈赤楠,1,立夏,第3候,2.5,1,2
2022/05/15,11,10,台灣山桂花,2,立夏,第3候,2.5,1,3
2022/05/15,12,11,細葉饅頭果,1,立夏,第3候,2.5,1,1
2022/05/15,13,12,球花嘉賜木,1,立夏,第3候,2.5,1,1
2022/05/15,14,13,相思樹,1,立夏,第3候,2.5,2,1
2022/05/15,15,14,血桐,1,立夏,第3候,2.5,1,2
2022/05/15,17,15,萬桃花,1,立夏,第3候,2.5,3,3
2022/05/15,18,16,山油麻,1,立夏,第3候,2.5,3,3
2022/05/15,19,17,構樹,1,立夏,第3候,2.5,1,3
2022/05/15,20,18,白毛臭牡丹,2,立夏,第3候,2.5,2,3
2022/05/15,21,19,白匏子,1,立夏,第3候,2.5,1,1
2022/05/15,23,20,白匏子,1,立夏,第3候,2.5,2,1
2022/05/15,24,21,苦楝,1,立夏,第3候,2.5,1,3
2022/05/15,26,22,狗骨仔,2,立夏,第3候,2.5,1,2
2022/05/15,27,23,降真香,1,立夏,第3候,2.5,2,1
2022/05/15,28,24,小錦蘭,3,立夏,第3候,2.5,1,1
2022/05/15,29,25,雙面刺,3,立夏,第3候,3,1,3
2022/05/15,31,26,大青,2,立夏,第3候,2.5,1,1
2022/05/15,33,27,球花嘉賜木,1,立夏,第3候,2.5,1,1
2022/05/15,34,28,球花嘉賜木,1,立夏,第3候,2.5,1,1
2022/05/15,35,29,台灣野茉莉,2,立夏,第3候,2.5,1,3
2022/05/15,36,30,對面花,2,立夏,第3候,2.5,2,1
2022/05/15,37,31,狗花椒,1,立夏,第3候,2.5,1,1
2022/05/15,38,32,毛瓣蝴蝶木,2,立夏,第3候,2.5,2,1
2022/05/15,40,33,狗花椒,1,立夏,第3候,2.5,1,1
2022/05/15,41,34,狗花椒,1,立夏,第3候,2.5,1,1
2022/05/15,42,35,羊角藤,3,立夏,第3候,2.5,2,1
2022/05/24,1,0,緬梔,1,小滿,第1候,2.5,3,1
2022/05/24,2,1,小梗木薑子,1,小滿,第1候,2.5,1,1
2022/05/24,3,2,相思樹,1,小滿,第1候,3,1,1
2022/05/24,4,3,降真香,1,小滿,第1候,2.5,3,2
2022/05/24,5,4,球花嘉賜木,1,小滿,第1候,2.5,1,1
2022/05/24,6,5,血桐,1,小滿,第1候,2.5,1,3
2022/05/24,7,6,灰木,2,小滿,第1候,2.5,1,2
2022/05/24,8,7,狗骨仔,1,小滿,第1候,2.5,1,1
2022/05/24,9,8,狗骨仔,2,小滿,第1候,2.5,1,2
2022/05/24,10,9,紅脈赤楠,1,小滿,第1候,2.5,1,2
2022/05/24,11,10,台灣山桂花,2,小滿,第1候,2.5,1,3
2022/05/24,12,11,細葉饅頭果,1,小滿,第1候,3,1,1
2022/05/24,13,12,球花嘉賜木,1,小滿,第1候,2.5,1,1
2022/05/24,14,13,相思樹,1,小滿,第1候,2.5,2,1
2022/05/24,15,14,血桐,1,小滿,第1候,2.5,1,2
2022/05/24,17,15,萬桃花,1,小滿,第1候,2.5,3,3
2022/05/24,18,16,山油麻,1,小滿,第1候,2.5,3,3
2022/05/24,19,17,構樹,1,小滿,第1候,2.5,1,3
2022/05/24,20,18,白毛臭牡丹,2,小滿,第1候,2.5,2,3
2022/05/24,21,19,白匏子,1,小滿,第1候,2.5,1,1
2022/05/24,23,20,白匏子,1,小滿,第1候,2.5,2,1
2022/05/24,24,21,苦楝,1,小滿,第1候,2.5,1,3
2022/05/24,26,22,狗骨仔,2,小滿,第1候,2.5,1,2
2022/05/24,27,23,降真香,1,小滿,第1候,2.5,2,2
2022/05/24,28,24,小錦蘭,3,小滿,第1候,2.5,1,1
2022/05/24,29,25,雙面刺,3,小滿,第1候,3,1,3
2022/05/24,31,26,大青,2,小滿,第1候,2.5,1,1
2022/05/24,33,27,球花嘉賜木,1,小滿,第1候,2.5,1,1
2022/05/24,34,28,球花嘉賜木,1,小滿,第1候,2.5,1,1
2022/05/24,35,29,台灣野茉莉,2,小滿,第1候,2.5,1,3
2022/05/24,36,30,對面花,2,小滿,第1候,2.5,1,1
2022/05/24,37,31,狗花椒,1,小滿,第1候,2.5,1,1
2022/05/24,38,32,毛瓣蝴蝶木,2,小滿,第1候,2.5,2,1
2022/05/24,40,33,狗花椒,1,小滿,第1候,2.5,1,1
2022/05/24,41,34,狗花椒,1,小滿,第1候,2.5,1,1
2022/05/24,42,35,羊角藤,3,小滿,第1候,2.5,3,1
2022/06/05,1,0,緬梔,1,小滿,第3候,2.5,3,1
2022/06/05,2,1,小梗木薑子,1,小滿,第3候,2.5,1,1
2022/06/05,3,2,相思樹,1,小滿,第3候,3,1,1
2022/06/05,4,3,降真香,1,小滿,第3候,2.5,3,1
2022/06/05,5,4,球花嘉賜木,1,小滿,第3候,2.5,1,1
2022/06/05,6,5,血桐,1,小滿,第3候,2.5,1,3
2022/06/05,7,6,灰木,2,小滿,第3候,2.5,1,2
2022/06/05,8,7,狗骨仔,1,小滿,第3候,2.5,1,1
2022/06/05,9,8,狗骨仔,2,小滿,第3候,2.5,1,2
2022/06/05,10,9,紅脈赤楠,1,小滿,第3候,2.5,1,1
2022/06/05,11,10,台灣山桂花,2,小滿,第3候,2.5,1,3
2022/06/05,12,11,細葉饅頭果,1,小滿,第3候,3,1,1
2022/06/05,13,12,球花嘉賜木,1,小滿,第3候,2.5,1,1
2022/06/05,14,13,相思樹,1,小滿,第3候,2.5,1,2
2022/06/05,15,14,血桐,1,小滿,第3候,2.5,1,1
2022/06/05,17,15,萬桃花,1,小滿,第3候,2.5,2,3
2022/06/05,18,16,山油麻,1,小滿,第3候,2.5,2,3
2022/06/05,19,17,構樹,1,小滿,第3候,2.5,2,3
2022/06/05,20,18,白毛臭牡丹,2,小滿,第3候,2.5,2,3
2022/06/05,21,19,白匏子,1,小滿,第3候,2.5,1,1
2022/06/05,23,20,白匏子,1,小滿,第3候,2.5,2,1
2022/06/05,24,21,苦楝,1,小滿,第3候,2.5,1,2
2022/06/05,26,22,狗骨仔,2,小滿,第3候,2.5,2,1
2022/06/05,27,23,降真香,1,小滿,第3候,2.5,2,1
2022/06/05,28,24,小錦蘭,3,小滿,第3候,2.5,1,1
2022/06/05,29,25,雙面刺,3,小滿,第3候,2.5,1,3
2022/06/05,31,26,大青,2,小滿,第3候,2.5,2,1
2022/06/05,33,27,球花嘉賜木,1,小滿,第3候,2.5,1,1
2022/06/05,34,28,球花嘉賜木,1,小滿,第3候,2.5,1,1
2022/06/05,35,29,台灣野茉莉,2,小滿,第3候,2.5,1,3
2022/06/05,36,30,對面花,2,小滿,第3候,2.5,1,1
2022/06/05,37,31,狗花椒,1,小滿,第3候,2.5,2,1
2022/06/05,38,32,毛瓣蝴蝶木,2,小滿,第3候,2.5,2,1
2022/06/05,40,33,狗花椒,1,小滿,第3候,2.5,1,1
2022/06/05,41,34,狗花椒,1,小滿,第3候,2.5,1,1
2022/06/05,42,35,羊角藤,3,小滿,第3候,2.5,3,1
2022/06/19,1,0,緬梔,1,芒種,第3候,2.5,3,1
2022/06/19,2,1,小梗木薑子,1,芒種,第3候,2.5,1,1
2022/06/19,3,2,相思樹,1,芒種,第3候,2.5,1,1
2022/06/19,4,3,降真香,1,芒種,第3候,2.5,2,1
2022/06/19,5,4,球花嘉賜木,1,芒種,第3候,2.5,1,1
2022/06/19,6,5,血桐,1,芒種,第3候,2.5,1,3
2022/06/19,7,6,灰木,2,芒種,第3候,2.5,1,2
2022/06/19,8,7,狗骨仔,1,芒種,第3候,2.5,1,1
2022/06/19,9,8,狗骨仔,2,芒種,第3候,2.5,1,2
2022/06/19,10,9,紅脈赤楠,1,芒種,第3候,2.5,1,1
2022/06/19,11,10,台灣山桂花,2,芒種,第3候,2.5,1,3
2022/06/19,12,11,細葉饅頭果,1,芒種,第3候,2.5,1,1
2022/06/19,13,12,球花嘉賜木,1,芒種,第3候,2.5,1,1
2022/06/19,14,13,相思樹,1,芒種,第3候,2.5,2,2
2022/06/19,15,14,血桐,1,芒種,第3候,2.5,1,1
2022/06/19,17,15,萬桃花,1,芒種,第3候,2.5,2,3
2022/06/19,18,16,山油麻,1,芒種,第3候,2.5,2,3
2022/06/19,19,17,構樹,1,芒種,第3候,2.5,1,3
2022/06/19,20,18,白毛臭牡丹,2,芒種,第3候,2.5,1,3
2022/06/19,21,19,白匏子,1,芒種,第3候,2.5,1,1
2022/06/19,23,20,白匏子,1,芒種,第3候,2.5,2,1
2022/06/19,24,21,苦楝,1,芒種,第3候,2.5,1,2
2022/06/19,26,22,狗骨仔,2,芒種,第3候,2.5,2,1
2022/06/19,27,23,降真香,1,芒種,第3候,2.5,3,1
2022/06/19,28,24,小錦蘭,3,芒種,第3候,2.5,1,1
2022/06/19,29,25,雙面刺,3,芒種,第3候,3,1,3
2022/06/19,31,26,大青,2,芒種,第3候,2.5,2,1
2022/06/19,33,27,球花嘉賜木,1,芒種,第3候,2.5,1,1
2022/06/19,34,28,球花嘉賜木,1,芒種,第3候,2.5,1,1
2022/06/19,35,29,台灣野茉莉,2,芒種,第3候,2.5,1,3
2022/06/19,36,30,對面花,2,芒種,第3候,2,1,1
2022/06/19,37,31,狗花椒,1,芒種,第3候,2.5,2,1
2022/06/19,38,32,毛瓣蝴蝶木,2,芒種,第3候,3,1,1
2022/06/19,40,33,狗花椒,1,芒種,第3候,2.5,1,1
2022/06/19,41,34,狗花椒,1,芒種,第3候,2.5,2,1
2022/06/19,42,35,羊角藤,3,芒種,第3候,2.5,2,1
2022/06/26,1,0,緬梔,1,夏至,第2候,2.5,3,1
2022/06/26,2,1,小梗木薑子,1,夏至,第2候,2.5,1,1
2022/06/26,3,2,相思樹,1,夏至,第2候,2.5,1,1
2022/06/26,4,3,降真香,1,夏至,第2候,2.5,3,1
2022/06/26,5,4,球花嘉賜木,1,夏至,第2候,2.5,1,1
2022/06/26,6,5,血桐,1,夏至,第2候,2.5,1,3
2022/06/26,7,6,灰木,2,夏至,第2候,2.5,1,2
2022/06/26,8,7,狗骨仔,1,夏至,第2候,2.5,1,1
2022/06/26,9,8,狗骨仔,2,夏至,第2候,2.5,1,2
2022/06/26,10,9,紅脈赤楠,1,夏至,第2候,2.5,1,1
2022/06/26,11,10,台灣山桂花,2,夏至,第2候,2.5,1,3
2022/06/26,12,11,細葉饅頭果,1,夏至,第2候,2.5,1,1
2022/06/26,13,12,球花嘉賜木,1,夏至,第2候,2.5,1,1
2022/06/26,14,13,相思樹,1,夏至,第2候,2.5,2,2
2022/06/26,15,14,血桐,1,夏至,第2候,2.5,1,1
2022/06/26,17,15,萬桃花,1,夏至,第2候,2.5,3,3
2022/06/26,18,16,山油麻,1,夏至,第2候,2.5,3,3
2022/06/26,19,17,構樹,1,夏至,第2候,2.5,1,3
2022/06/26,21,19,白匏子,1,夏至,第2候,2.5,1,1
2022/06/26,23,20,白匏子,1,夏至,第2候,2.5,2,1
2022/06/26,24,21,苦楝,1,夏至,第2候,2.5,1,2
2022/06/26,26,22,狗骨仔,2,夏至,第2候,2.5,2,1
2022/06/26,27,23,降真香,1,夏至,第2候,2.5,3,1
2022/06/26,28,24,小錦蘭,3,夏至,第2候,2.5,1,1
2022/06/26,29,25,雙面刺,3,夏至,第2候,3,1,3
2022/06/26,31,26,大青,2,夏至,第2候,2.5,2,1
2022/06/26,33,27,球花嘉賜木,1,夏至,第2候,2.5,1,1
2022/06/26,34,28,球花嘉賜木,1,夏至,第2候,2.5,1,1
2022/06/26,35,29,台灣野茉莉,2,夏至,第2候,2.5,1,3
2022/06/26,36,30,對面花,2,夏至,第2候,2,1,1
2022/06/26,37,31,狗花椒,1,夏至,第2候,2.5,2,1
2022/06/26,38,32,毛瓣蝴蝶木,2,夏至,第2候,2.5,1,1
2022/06/26,40,33,狗花椒,1,夏至,第2候,2.5,1,1
2022/06/26,41,34,狗花椒,1,夏至,第2候,2.5,2,1
2022/06/26,42,35,羊角藤,3,夏至,第2候,2.5,2,1
2022/07/10,1,0,緬梔,1,小暑,第1候,2.5,3,1
2022/07/10,2,1,小梗木薑子,1,小暑,第1候,2.5,1,1
2022/07/10,3,2,相思樹,1,小暑,第1候,2.5,1,1
2022/07/10,4,3,降真香,1,小暑,第1候,2.5,3,2
2022/07/10,5,4,球花嘉賜木,1,小暑,第1候,2.5,1,1
2022/07/10,6,5,血桐,1,小暑,第1候,2.5,1,2
2022/07/10,7,6,灰木,2,小暑,第1候,2.5,1,2
2022/07/10,8,7,狗骨仔,1,小暑,第1候,2.5,1,1
2022/07/10,9,8,狗骨仔,2,小暑,第1候,2.5,1,2
2022/07/10,10,9,紅脈赤楠,1,小暑,第1候,2.5,1,1
2022/07/10,11,10,台灣山桂花,2,小暑,第1候,2.5,1,3
2022/07/10,12,11,細葉饅頭果,1,小暑,第1候,2.5,1,1
2022/07/10,13,12,球花嘉賜木,1,小暑,第1候,2.5,1,1
2022/07/10,14,13,相思樹,1,小暑,第1候,2.5,2,1
2022/07/10,15,14,血桐,1,小暑,第1候,2.5,2,1
2022/07/10,17,15,萬桃花,1,小暑,第1候,2.5,3,3
2022/07/10,18,16,山油麻,1,小暑,第1候,2.5,3,3
2022/07/10,19,17,構樹,1,小暑,第1候,2.5,1,3
